simulation_id,days_to_3_outs,total_sales_at_3_outs
1,39,63
2,34,62
3,36,65
4,33,59
5,30,58
6,29,61
7,39,68
8,44,68
9,45,70
10,38,66
11,38,67
12,47,72
13,58,68
14,36,64
15,39,62
16,33,57
17,43,61
18,31,60
19,52,66
20,35,69
21,38,66
22,43,62
23,34,61
24,47,67
25,50,67
26,40,59
27,38,66
28,52,65
29,34,58
30,47,61
31,50,62
32,46,64
33,43,67
34,39,64
35,42,64
36,52,67
37,35,66
38,53,64
39,45,65
40,35,56
41,37,57
42,44,71
43,46,65
44,34,60
45,32,60
46,47,66
47,48,67
48,43,59
49,30,66
50,38,65
51,36,61
52,42,61
53,37,65
54,48,63
55,34,53
56,40,58
57,43,64
58,47,69
59,50,67
60,40,63
61,31,66
62,46,64
63,40,67
64,47,66
65,38,63
66,45,59
67,42,68
68,42,72
69,35,62
70,45,63
71,44,66
72,44,65
73,43,63
74,54,71
75,41,62
76,46,60
77,38,69
78,39,61
79,42,72
80,44,68
81,32,58
82,47,66
83,52,66
84,41,65
85,46,62
86,47,66
87,41,64
88,35,66
89,46,68
90,49,67
91,39,67
92,39,67
93,35,63
94,47,70
95,32,60
96,32,58
97,38,60
98,42,61
99,45,70
100,60,70
101,42,69
102,42,62
103,32,63
104,37,63
105,51,70
106,52,68
107,42,62
108,41,68
109,37,62
110,54,70
111,40,58
112,35,62
113,44,64
114,40,59
115,38,61
116,45,64
117,43,65
118,37,63
119,42,59
120,40,66
121,47,68
122,45,71
123,38,59
124,42,66
125,39,66
126,44,66
127,43,57
128,46,64
129,35,61
130,42,58
131,39,67
132,43,71
133,47,70
134,34,62
135,34,58
136,46,72
137,44,64
138,34,61
139,38,59
140,33,66
141,51,64
142,37,71
143,52,70
144,39,63
145,49,70
146,41,65
147,47,63
148,44,64
149,41,68
150,37,63
151,38,57
152,38,69
153,38,67
154,32,59
155,44,66
156,47,63
157,48,70
158,41,66
159,51,70
160,50,71
161,48,69
162,44,64
163,38,67
164,37,63
165,32,61
166,45,67
167,49,65
168,50,62
169,35,56
170,27,60
171,46,64
172,47,63
173,44,64
174,40,64
175,53,59
176,41,61
177,44,67
178,49,64
179,35,70
180,50,68
181,45,69
182,27,58
183,40,59
184,41,58
185,42,68
186,42,69
187,43,62
188,48,66
189,56,76
190,54,68
191,49,66
192,48,67
193,28,53
194,37,60
195,51,66
196,49,75
197,46,63
198,32,61
199,41,63
200,40,67
201,34,59
202,44,65
203,35,61
204,54,68
205,43,59
206,42,64
207,31,59
208,48,63
209,48,64
210,47,62
211,37,63
212,34,58
213,35,62
214,37,67
215,55,67
216,33,63
217,31,60
218,51,68
219,37,70
220,34,64
221,47,60
222,40,61
223,43,66
224,48,66
225,39,66
226,47,62
227,37,67
228,44,64
229,37,61
230,38,64
231,43,63
232,57,68
233,36,59
234,30,52
235,40,66
236,37,64
237,34,61
238,41,61
239,47,67
240,36,65
241,42,63
242,50,67
243,35,56
244,32,60
245,38,73
246,39,66
247,30,61
248,42,66
249,46,67
250,46,62
251,37,66
252,33,63
253,36,64
254,43,65
255,40,64
256,40,57
257,41,62
258,29,57
259,28,61
260,43,63
261,49,64
262,35,57
263,58,69
264,45,63
265,53,65
266,43,62
267,37,67
268,37,69
269,35,63
270,38,60
271,31,65
272,42,61
273,35,58
274,43,65
275,54,69
276,32,61
277,35,62
278,44,68
279,41,66
280,39,64
281,53,71
282,30,57
283,46,68
284,42,58
285,46,64
286,43,56
287,47,69
288,37,64
289,32,60
290,33,60
291,37,62
292,49,71
293,57,66
